Region,Year,Crop,Rainfall (mm/day),All sky solar radiation (MJ/m^2/day),Humidity (g/kg),Temparature (C),Profile soil moisture (1),Surface soil moisture (1),Total_Area,Yield
Udupi,2000,Rice,2558.48,19.22,15.52,24.83,0.77,0.69,58333.85082,2.03
Udupi,2001,Rice,3267.88,18.84,15.73,25.01,0.78,0.71,55740.70406,1.98
Udupi,2002,Rice,2470.04,19.27,15.87,25.35,0.77,0.7,52116.23514,2.18
Udupi,2003,Rice,2836.35,19.19,16,25.64,0.76,0.67,56197.56083,3.05
Udupi,2004,Rice,3036.53,19.19,15.67,25.19,0.78,0.7,52148.72667,3.36
Udupi,2005,Rice,3306.95,19.02,16.02,25.36,0.77,0.7,52938.41254,2.33
Udupi,2006,Rice,3489.55,19.33,15.81,25.14,0.8,0.72,53516.46568,2.44
Udupi,2007,Rice,3780.42,18.49,16,25.04,0.79,0.73,52830.72788,2.35
Udupi,2008,Rice,2932.93,19.01,15.78,24.99,0.78,0.72,55493.29931,2.23
Udupi,2009,Rice,3731.35,18.52,16.13,25.5,0.78,0.7,53408.18212,2.31
Udupi,2010,Rice,4369.51,18.01,16.73,25.35,0.82,0.76,56953.48126,2.4
Udupi,2011,Rice,3588.25,19.07,15.72,24.9,0.8,0.74,52382.79622,2.37
Udupi,2012,Rice,3176.64,18.83,15.74,25.27,0.77,0.69,53674.38393,2.33
Udupi,2013,Rice,3903.61,18.65,15.83,25.23,0.79,0.72,52181.65953,2.63
Udupi,2014,Rice,3545.49,18.59,16.07,25.48,0.78,0.71,52434.63761,2.83
Udupi,2015,Rice,3167.12,18.99,16.25,25.45,0.78,0.73,53679.98965,2.34
Udupi,2016,Rice,2981.18,18.98,15.87,25.57,0.76,0.67,52148.72035,2.73
Udupi,2017,Rice,2592.63,19.02,15.75,25.7,0.75,0.65,52855.17813,2.88
Udupi,2018,Rice,2607.88,18.92,15.55,25.65,0.73,0.65,52328.48609,2.86
Udupi,2019,Rice,3696.44,18.88,15.97,26.14,0.75,0.65,53764.78131,2.82
Udupi,2020,Rice,4610.97,18.64,16.57,25.7,0.79,0.72,52894.6554,2.83
Udupi,2021,Rice,3816.33,18.36,16.68,25.4,0.82,0.78,52195.85657,2.92
Udupi,2022,Rice,3762.47,18.3,16.4,25.15,0.8,0.75,51902.15724,2.94
